Area,Location at Area,District,Location in District,Weather Station for Temperature
Kowloon,South,Yau Tsim Mong,,King's Park
Kowloon,South,Tsim Sha Tsui,,Hong Kong Observatory
Hong Kong Island,South West,Southern District,West,Wong Chuk Hang
New Territories,North,North District,,Ta Kwu Ling
New Territories,West,Yuen Long,West,Lau Fau Shan
New Territories,East,Tai Po,West,Tai Po
New Territories,East,Sha Tin,,Sha Tin
New Territories,West,Tuen Mun,,Tuen Mun
New Territories,East,Sai Kung,South,Tseung Kwan O
New Territories,East,Sai Kung,North,Sai Kung
New Territories,South,Islands District,East,Cheung Chau
New Territories,South,Islands District,West,Chek Lap Kok
New Territories,West,Kwai Tsing,,Tsing Yi
New Territories,West,Yuen Long,East,Shek Kong
New Territories,West,Tsuen Wan,West,Tsuen Wan Ho Koon
New Territories,West,Tsuen Wan,East,Tsuen Wan Shing Mun Valley
Hong Kong Island,Central,Central & Western District,,Hong Kong Park
Hong Kong Island,East,Eastern District,,Shau Kei Wan
Kowloon,North,Kowloon City,North,Kowloon City
Hong Kong Island,West,Wan Chai,,Happy Valley
New Territories,East,Wong Tai Sin,,Wong Tai Sin
Hong Kong Island,South East,Southern District,East,Stanley
Kowloon,East,Kwun Tong,,Kwun Tong
Kowloon,West,Sham Shui Po,,Sham Shui Po
Kowloon,South,Kowloon City,South,Kai Tak Runway Park
New Territories,West,Yuen Long,Center,Yuen Long Park
New Territories,East,Tai Po,East,Tai Mei Tuk
